Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
6,1671023915284,14/12/2022 13:18:35,1671023915213,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ3,Always
7,1671023915284,14/12/2022 13:18:35,1671023915213,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ3-quantised,5
8,1671023915284,14/12/2022 13:18:35,1671023915213,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ4,Rarely
9,1671023915284,14/12/2022 13:18:35,1671023915213,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ4-quantised,2
10,1671023915284,14/12/2022 13:18:35,1671023915213,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ5,Always
11,1671023915284,14/12/2022 13:18:35,1671023915214,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ5-quantised,5
12,1671023915284,14/12/2022 13:18:35,1671023915214,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ6,Often
13,1671023915284,14/12/2022 13:18:35,1671023915214,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ6-quantised,4
14,1671023915284,14/12/2022 13:18:35,1671023915214,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ7,Never
15,1671023915284,14/12/2022 13:18:35,1671023915214,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ7-quantised,1
16,1671023915284,14/12/2022 13:18:35,1671023915215,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ8,Always
17,1671023915284,14/12/2022 13:18:35,1671023915215,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ8-quantised,5
18,1671023915284,14/12/2022 13:18:35,1671023915215,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ9,Often
19,1671023915284,14/12/2022 13:18:35,1671023915215,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ9-quantised,4
20,1671023915284,14/12/2022 13:18:35,1671023915215,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ10,Sometimes
21,1671023915284,14/12/2022 13:18:35,1671023915215,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ10-quantised,3
22,1671023915284,14/12/2022 13:18:35,1671023915216,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ11,Rarely
23,1671023915350,14/12/2022 13:18:35,1671023915216,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ11-quantised,2
24,1671023915350,14/12/2022 13:18:35,1671023915216,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ12,Rarely
25,1671023915350,14/12/2022 13:18:35,1671023915216,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ12-quantised,2
26,1671023915350,14/12/2022 13:18:35,1671023915216,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ13,Often
27,1671023915350,14/12/2022 13:18:35,1671023915216,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ13-quantised,4
28,1671023915350,14/12/2022 13:18:35,1671023915216,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ14,Rarely
29,1671023915350,14/12/2022 13:18:35,1671023915217,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ14-quantised,2
30,1671023915350,14/12/2022 13:18:35,1671023915217,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ15,Never
31,1671023915350,14/12/2022 13:18:35,1671023915217,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ15-quantised,1
32,1671023915350,14/12/2022 13:18:35,1671023915217,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ16,Always
33,1671023915350,14/12/2022 13:18:35,1671023915217,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ16-quantised,5
34,1671023915350,14/12/2022 13:18:35,1671023915217,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,END QUESTIONNAIRE,132890
1,1671113432745,15/12/2022 14:10:32,1671113432708,0,15/12/2022 14:10:32,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1873x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1671113782531,15/12/2022 14:16:22,1671113782478,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ1,Often
3,1671113782583,15/12/2022 14:16:22,1671113782479,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ1-quantised,4
4,1671113782583,15/12/2022 14:16:22,1671113782479,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ2,Often
5,1671113782583,15/12/2022 14:16:22,1671113782480,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ2-quantised,4
6,1671113782583,15/12/2022 14:16:22,1671113782480,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ3,Always
7,1671113782583,15/12/2022 14:16:22,1671113782480,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ3-quantised,5
8,1671113782583,15/12/2022 14:16:22,1671113782480,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ4,Rarely
9,1671113782583,15/12/2022 14:16:22,1671113782480,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ4-quantised,2
10,1671113782583,15/12/2022 14:16:22,1671113782481,0,15/12/2022 14:16:22,100427,13,questionnaire-ab2a,,25972569,A537,7672481,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ5,Often
